"","x"
"1",-10.4946138795939
"2",-7.65310198435804
"3",-9.26332710776803
"4",-13.9236063584768
"5",-6.22032470097658
"6",-8.39821299344408
"7",-16.5247828464265
"8",-6.746101779957
"9",-8.66723914635363
"10",-8.32539413236378
"11",-8.38326087934056
"12",-7.13120077889523
"13",-12.1092133562758
"14",-10.6280878421785
"15",-8.86724072664215
"16",-7.3553300945097
"17",-9.80276645650082
"18",-7.10545055352149
"19",-9.09150578362413
"20",-7.24577205866304
"21",-9.93350931667555
"22",-9.39455728601479
"23",-8.61312525655898
"24",-8.12719548146577
"25",-10.3322295671393
"26",-9.25021788298915
"27",-12.8006643302172
"28",-7.05417148649258
"29",-6.89135704021275
"30",-10.2048402582958
"31",-7.51550362971029
"32",-9.07719573471488
"33",-7.75609989220574
"34",-9.62827216458753
"35",-7.37982965233719
"36",-7.11914193070448
"37",-7.58950747205574
"38",-8.04975264520811
"39",-8.00130797020219
"40",-9.61621132324096
"41",-6.75545092181874
"42",-15.0331108323405
"43",-9.25182686129285
"44",-11.6359151861008
"45",-8.10484062301789
"46",-7.88807163916905
"47",-7.78260661308084
"48",-8.74033251822458
"49",-10.783420052413
"50",-7.94686460413339
"51",-8.70525279898661
"52",-7.81957854122929
"53",-9.10580965546915
"54",-6.74571915373616
"55",-15.7026840687229
"56",-7.39886968658909
"57",-7.15523098550899
"58",-8.2572922628333
"59",-7.94973312378414
"60",-10.1407650795321
"61",-10.135762891106
"62",-8.89024999693304
"63",-6.61022177213386
"64",-9.50637162213954
"65",-7.87667847804736
"66",-9.30239846748317
"67",-10.6711397093716
"68",-8.194754168464
"69",-8.17275851864263
"70",-15.6748754560304
"71",-7.96397961296393
"72",-10.9737125058492
"73",-7.62478842635797
"74",-11.8397716650016
"75",-7.06440619038808
"76",-12.226222368925
"77",-6.27849836188123
"78",-12.5227224967665
"79",-16.6615390690046
"80",-9.15374576776105
"81",-13.6144645534158
"82",-12.4109450362036
"83",-7.71300536801833
"84",-8.16285447571042
"85",-8.41090263808063
"86",-9.49208310018363
"87",-8.95736279464695
"88",-11.462450859885
"89",-11.4791407593445
"90",-8.89072958313722
"91",-7.02478825101543
"92",-12.4803584555048
"93",-9.59131812645403
"94",-9.41328705931126
"95",-18.8893875496266
"96",-8.76757601768254
"97",-9.07369874485549
"98",-10.9023140797463
"99",-8.33719012136582
"100",-17.1589478188498
"101",-11.6561643508764
"102",-11.9535763778426
"103",-12.1833677381547
"104",-9.44660835221261
"105",-16.1604786031009
"106",-12.1181093260391
"107",-10.617574849743
"108",-11.2799515342899
"109",-9.00019220244195
"110",-10.6213237235607
"111",-14.6180786677553
"112",-15.3198494910874
"113",-13.7645305947415
"114",-9.49366507278229
"115",-10.3157579249589
"116",-12.8844258888028
"117",-11.965308578333
"118",-15.3818862452042
"119",-9.4434965822546
"120",-13.6337335686934
"121",-8.45273384986514
"122",-15.532149169396
"123",-12.405969846057
"124",-12.2750989828915
"125",-13.0394011977519
"126",-9.95644204097981
"127",-9.98165374584021
"128",-13.9402749804108
"129",-10.4489422613188
"130",-9.01505162656197
"131",-12.1075907403116
